Company Name,Industry,Symbol,Price Deviation (5 D),LTP,ST,MT,LT,ST %,MT %,LT %
Coforge Ltd.,Information Technology,COFORGE,0.04497,5204.95,3604.55,5469.9,1255.35,30.748,-5.09,75.882
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,0.04498,1734.7,1173.98,1424.8,779.67,32.324,17.865,55.054
Mahindra Holidays & Resorts India Ltd.,Consumer Services,MHRIL,0.04502,391.7,267.55,240.65,164.73,31.695,38.563,57.945
Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM,0.04517,425.25,400.94,395.98,395.98,5.717,6.883,6.883
Torrent Power Ltd.,Power,TORNTPOWER,0.04522,735.0,484.23,471.35,217.67,34.118,35.871,70.385
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,0.0453,430.45,365.73,406.07,196.36,15.035,5.664,54.383
Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI,0.04543,491.45,347.41,347.41,347.41,29.309,29.309,29.309
One 97 Communications Ltd.,Financial Services,PAYTM,0.04558,853.2,621.4,621.4,621.4,27.168,27.168,27.168
Power Grid Corporation of India Ltd.,Power,POWERGRID,0.04587,199.35,160.86,114.14,74.12,19.308,42.744,62.819
Indian Energy Exchange Ltd.,Financial Services,IEX,0.04602,132.1,131.96,195.12,54.29,0.106,-47.706,58.902
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,0.04602,3479.7,2854.05,2807.18,2581.08,17.98,19.327,25.825
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,0.04605,682.0,580.31,729.11,729.11,14.911,-6.908,-6.908
Cummins India Ltd.,Capital Goods,CUMMINSIND,0.04607,1731.6,1564.07,989.51,658.78,9.675,42.856,61.955
IIFL Finance Ltd.,Financial Services,IIFL,0.0461,585.15,423.2,267.16,369.34,27.677,54.343,36.881
Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI,0.04653,1245.7,884.8,1032.49,907.69,28.972,17.116,27.134
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,0.04665,3768.0,2784.01,5089.89,1220.83,26.114,-35.082,67.6
Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA,0.04677,473.8,360.95,761.59,761.59,23.818,-60.741,-60.741
Laurus Labs Ltd.,Healthcare,LAURUSLABS,0.04678,394.05,296.73,616.5,81.43,24.697,-56.452,79.335
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,0.04692,3301.8,2785.2,3271.19,1274.59,15.646,0.927,61.397
Siemens Ltd.,Capital Goods,SIEMENS,0.04714,3725.55,3289.75,2140.78,957.78,11.698,42.538,74.292
Quess Corp Ltd.,Services,QUESS,0.04719,425.85,344.6,908.02,892.38,19.079,-113.225,-109.553
