Company Name,Industry,Symbol,Price Deviation (5 D),LTP,ST,MT,LT,ST %,MT %,LT %
Hinduja Global Solutions Ltd.,Services,HGS,0.01574,1002.4,1021.48,1307.82,350.75,-1.903,-30.469,65.009
Pidilite Industries Ltd.,Chemicals,PIDILITIND,0.01714,2499.5,2342.17,2414.38,1110.26,6.294,3.405,55.581
Sanofi India Ltd.,Healthcare,SANOFI,0.01929,7108.9,5304.91,7171.58,4892.73,25.376,-0.882,31.175
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,0.02062,19218.55,17814.1,14675.28,19004.35,7.308,23.64,1.115
Tata Elxsi Ltd.,Information Technology,TATAELXSI,0.02105,7301.7,5910.07,5653.46,1289.46,19.059,22.573,82.34
Amara Raja Batteries Ltd.,Automobile and Auto Components,AMARAJABAT,0.02106,638.65,552.12,720.18,764.08,13.549,-12.766,-19.64
Campus Activewear Ltd.,Consumer Durables,CAMPUS,0.02132,291.65,330.95,330.95,330.95,-13.475,-13.475,-13.475
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,0.02167,561.0,538.92,636.02,437.63,3.936,-13.373,21.991
Balaji Amines Ltd.,Chemicals,BALAMINES,0.02175,2240.25,1976.08,4633.66,538.12,11.792,-106.837,75.979
LTIMindtree Ltd.,Information Technology,LTIM,0.02185,5436.9,4522.06,5878.38,1740.04,16.827,-8.12,67.996
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,0.0222,920.25,758.27,707.0,334.61,17.602,23.173,63.639
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,0.02306,187.25,149.83,118.78,127.56,19.984,36.566,31.877
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,0.02311,1765.15,1703.8,2021.12,1235.11,3.476,-14.501,30.028
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,0.02335,311.0,296.66,226.89,152.75,4.611,27.045,50.884
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,0.02336,2368.9,2229.67,2473.69,1192.59,5.877,-4.424,49.656
Godrej Agrovet Ltd.,Fast Moving Consumer Goods,GODREJAGRO,0.02365,479.55,383.47,599.28,483.43,20.035,-24.967,-0.809
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,0.02428,779.6,656.09,633.61,346.93,15.843,18.726,55.499
Life Insurance Corporation of India,Financial Services,LICI,0.02436,644.95,538.88,538.88,538.88,16.446,16.446,16.446
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,0.02462,4444.85,4169.52,3897.64,700.34,6.194,12.311,84.244
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,0.02493,2501.75,2478.76,2676.87,1485.65,0.919,-7.0,40.616
HCL Technologies Ltd.,Information Technology,HCLTECH,0.02501,1261.1,1024.99,1215.49,472.34,18.723,3.617,62.545
MRF Ltd.,Automobile and Auto Components,MRF,0.02605,110285.4,83572.02,79932.73,69856.42,24.222,27.522,36.659
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,0.02702,454.85,420.52,514.63,253.81,7.548,-13.143,44.199
Relaxo Footwears Ltd.,Consumer Durables,RELAXO,0.02721,903.3,799.92,1164.81,409.59,11.445,-28.951,54.656
Tata Chemicals Ltd.,Chemicals,TATACHEM,0.02733,1043.5,938.34,809.12,651.66,10.078,22.461,37.551
Rajesh Exports Ltd.,Consumer Durables,RAJESHEXPO,0.0275,505.7,605.15,577.46,668.4,-19.666,-14.19,-32.173
PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX,0.02751,1715.1,1553.6,1553.6,1553.6,9.416,9.416,9.416
Adani Green Energy Ltd.,Power,ADANIGREEN,0.02752,1018.75,984.9,1149.2,52.25,3.323,-12.805,94.871
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,0.02765,648.2,491.33,720.25,449.3,24.201,-11.115,30.685
InterGlobe Aviation Ltd.,Services,INDIGO,0.02768,2388.15,1834.3,2216.5,869.08,23.192,7.188,63.609
United Breweries Ltd.,Fast Moving Consumer Goods,UBL,0.02789,1578.0,1407.1,1625.03,1284.16,10.83,-2.98,18.621
Pfizer Ltd.,Healthcare,PFIZER,0.02806,3856.7,3481.98,5733.3,3101.57,9.716,-48.658,19.58
Shree Cement Ltd.,Construction Materials,SHREECEM,0.0283,26428.55,25455.89,29554.43,18044.45,3.68,-11.828,31.724
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,0.02835,830.7,624.9,744.31,367.22,24.774,10.4,55.794
Axis Bank Ltd.,Financial Services,AXISBANK,0.02907,1025.2,831.64,809.25,634.59,18.88,21.064,38.101
Tata Consultancy Services Ltd.,Information Technology,TCS,0.02947,3589.3,3091.21,3696.52,1866.42,13.877,-2.987,48.0
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,GNFC,0.02953,607.4,476.38,364.73,323.78,21.571,39.952,46.694
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,0.02982,2555.8,1960.88,2641.55,1107.25,23.277,-3.355,56.677
Marico Ltd.,Fast Moving Consumer Goods,MARICO,0.02998,583.8,479.75,551.72,324.76,17.823,5.495,44.371
NTPC Ltd.,Power,NTPC,0.0301,239.3,168.89,115.63,103.85,29.423,51.68,56.603
Havells India Ltd.,Consumer Durables,HAVELLS,0.03032,1406.65,1163.95,1420.58,639.98,17.254,-0.99,54.503
Laxmi Organic Industries Ltd.,Chemicals,LXCHEM,0.03048,284.4,232.49,547.92,547.92,18.252,-92.658,-92.658
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,0.03048,999.9,961.6,1058.05,878.36,3.83,-5.816,12.155
Tata Communications Ltd.,Telecommunication,TATACOMM,0.03053,1875.65,1202.4,1411.18,483.36,35.894,24.763,74.23
CRISIL Ltd.,Financial Services,CRISIL,0.03069,3861.15,3015.19,2846.83,1600.18,21.91,26.27,58.557
ACC Ltd.,Construction Materials,ACC,0.0307,2019.75,1667.87,2264.47,1413.88,17.422,-12.116,29.997
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA,0.03075,331.5,189.73,397.81,186.6,42.766,-20.003,43.71
Honeywell Automation India Ltd.,Capital Goods,HONAUT,0.03076,40526.45,35696.47,43452.89,22074.59,11.918,-7.221,45.53
Sharda Cropchem Ltd.,Chemicals,SHARDACROP,0.03082,428.55,451.63,325.79,363.6,-5.386,23.979,15.156
Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS,0.03101,910.7,778.53,1414.45,1414.45,14.513,-55.315,-55.315
V-Guard Industries Ltd.,Consumer Durables,VGUARD,0.03121,306.6,243.98,254.24,197.63,20.424,17.078,35.541
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,0.03138,22873.0,18796.88,19342.73,9582.63,17.821,15.434,58.105
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,0.03143,3006.35,2282.91,2623.08,2653.14,24.064,12.749,11.749
TCI Express Ltd.,Services,TCIEXP,0.03144,1485.05,1482.46,1551.2,653.74,0.174,-4.454,55.979
Kec International Ltd.,Capital Goods,KEC,0.03165,661.25,452.41,446.53,292.04,31.583,32.472,55.835
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,0.03174,4149.15,3144.2,2377.74,2377.74,24.221,42.693,42.693
Route Mobile Ltd.,Telecommunication,ROUTE,0.03184,1560.8,1315.5,1969.77,1969.77,15.716,-26.203,-26.203
Kansai Nerolac Paints Ltd.,Consumer Durables,KANSAINER,0.03193,327.4,254.67,409.74,312.04,22.214,-25.15,4.692
H.E.G. Ltd.,Capital Goods,HEG,0.03196,1729.65,909.88,2120.43,3615.89,47.395,-22.593,-109.053
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,0.03226,2483.3,1721.33,1472.25,133.68,30.684,40.714,94.617
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,0.03243,5105.35,4302.31,5044.97,1112.89,15.729,1.183,78.201
Voltas Ltd.,Consumer Durables,VOLTAS,0.0327,870.95,814.39,1228.6,558.18,6.494,-41.064,35.911
Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM,0.03276,3040.1,2957.15,1762.59,1762.59,2.729,42.022,42.022
Global Health Ltd.,Healthcare,MEDANTA,0.0329,694.8,473.35,473.35,473.35,31.872,31.872,31.872
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS,0.03311,2081.0,1340.89,1340.89,1340.89,35.565,35.565,35.565
Oberoi Realty Ltd.,Realty,OBEROIRLTY,0.03335,1137.7,821.52,840.75,437.49,27.791,26.101,61.546
Latent View Analytics Ltd.,Information Technology,LATENTVIEW,0.03371,413.35,318.5,318.5,318.5,22.947,22.947,22.947
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,0.03372,2670.1,1640.14,3092.75,1547.85,38.574,-15.829,42.03
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,0.03381,349.0,341.05,398.04,255.31,2.278,-14.052,26.845
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,0.03392,1139.95,979.98,752.99,630.07,14.033,33.945,44.728
Adani Wilmar Ltd.,Fast Moving Consumer Goods,AWL,0.03401,341.55,387.5,387.5,387.5,-13.453,-13.453,-13.453
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,0.03404,4627.35,4143.75,3846.55,2775.66,10.451,16.874,40.016
ITC Ltd.,Fast Moving Consumer Goods,ITC,0.03416,449.15,377.87,226.6,257.13,15.87,49.549,42.752
Gujarat Pipavav Port Ltd.,Services,GPPL,0.03421,125.15,106.49,90.2,81.66,14.91,27.926,34.75
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,0.03421,8262.7,7416.3,7541.74,4073.58,10.244,8.725,50.699
City Union Bank Ltd.,Financial Services,CUB,0.03444,128.9,123.26,150.47,181.75,4.375,-16.734,-41.001
Max Financial Services Ltd.,Financial Services,MFSL,0.03444,918.95,619.65,1039.2,442.15,32.57,-13.086,51.885
Bharat Electronics Ltd.,Capital Goods,BEL,0.03445,136.6,91.33,66.59,27.22,33.141,51.252,80.073
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,0.03461,97.2,63.71,92.14,71.54,34.455,5.206,26.399
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,0.03474,179.3,130.4,123.95,110.97,27.273,30.87,38.109
United Spirits Ltd.,Fast Moving Consumer Goods,MCDOWELL-N,0.03506,1017.0,749.45,829.15,594.15,26.308,18.471,41.578
HDFC Bank Ltd.,Financial Services,HDFCBANK,0.03513,1526.85,1549.68,1534.36,987.05,-1.495,-0.492,35.354
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,0.03523,7303.9,6042.35,4759.29,2800.98,17.272,34.839,61.651
Lakshmi Machine Works Ltd.,Capital Goods,LAXMIMACH,0.03526,14687.15,10206.89,7820.08,6781.62,30.505,46.756,53.826
Garware Technical Fibres Ltd.,Textiles,GARFIBRES,0.03528,3185.8,2739.8,3372.07,1260.13,14.0,-5.847,60.445
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,0.03538,90.4,74.75,68.76,70.6,17.312,23.938,21.903
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,0.03549,325.45,237.0,209.95,176.25,27.178,35.489,45.844
Rainbow Childrens Medicare Ltd.,Healthcare,RAINBOW,0.03557,1034.15,707.92,707.92,707.92,31.546,31.546,31.546
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,0.03562,627.65,957.48,1401.83,1401.83,-52.55,-123.346,-123.346
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,0.03572,1847.8,1511.38,1499.93,827.13,18.207,18.826,55.237
Godrej Industries Ltd.,Diversified,GODREJIND,0.03581,553.75,402.75,588.8,598.88,27.269,-6.33,-8.15
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,0.0359,279.9,252.01,292.78,142.83,9.964,-4.602,48.971
PI Industries Ltd.,Chemicals,PIIND,0.0359,3454.15,2916.96,3245.76,763.23,15.552,6.033,77.904
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET,0.03595,238.5,219.86,212.07,185.76,7.816,11.082,22.113
Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER,0.03603,1338.65,1020.2,1147.74,428.96,23.789,14.261,67.956
JK Lakshmi Cement Ltd.,Construction Materials,JKLAKSHMI,0.03615,636.7,714.58,639.8,314.37,-12.232,-0.487,50.625
Container Corporation of India Ltd.,Services,CONCOR,0.03647,723.5,575.69,684.76,472.6,20.43,5.355,34.679
Ceat Ltd.,Automobile and Auto Components,CEATLTD,0.0365,2112.8,1362.96,1352.25,1273.19,35.49,35.997,39.739
V-Mart Retail Ltd.,Consumer Services,VMART,0.03652,2033.45,2206.75,3588.55,2949.63,-8.522,-76.476,-45.055
DLF Ltd.,Realty,DLF,0.03657,528.7,346.07,395.59,192.93,34.543,25.177,63.509
Zomato Ltd.,Consumer Services,ZOMATO,0.03668,100.1,50.1,137.3,137.3,49.95,-37.163,-37.163
Tata Power Co. Ltd.,Power,TATAPOWER,0.03681,259.75,184.93,141.19,67.76,28.805,45.644,73.913
UTI Asset Management Company Ltd.,Financial Services,UTIAMC,0.03695,790.05,629.68,1047.19,1047.19,20.299,-32.547,-32.547
State Bank of India,Financial Services,SBIN,0.03702,589.75,500.43,434.45,283.81,15.145,26.333,51.876
Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA,0.03721,379.5,274.15,167.58,143.15,27.76,55.842,62.279
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,0.03721,260.15,171.17,178.19,257.52,34.203,31.505,1.011
TTK Prestige Ltd.,Consumer Durables,TTKPRESTIG,0.03733,779.7,670.97,882.87,527.67,13.945,-13.232,32.324
Abbott India Ltd.,Healthcare,ABBOTINDIA,0.03748,22743.3,20869.7,20933.92,7894.95,8.238,7.956,65.287
Birlasoft Ltd.,Information Technology,BSOFT,0.03766,491.5,259.41,429.7,177.42,47.221,12.574,63.902
Eris Lifesciences Ltd.,Healthcare,ERIS,0.03776,830.25,572.9,742.33,695.12,30.997,10.59,16.276
Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA,0.03788,1211.05,629.89,421.44,230.07,47.988,65.2,81.002
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,0.03793,376.5,306.74,232.54,222.61,18.529,38.236,40.874
Aarti Industries Ltd.,Chemicals,AARTIIND,0.03816,496.9,490.3,909.95,313.63,1.328,-83.125,36.883
